address,tx_count,unique_counterparties,total_received_ada,first_epoch,last_epoch,epoch_span,exchange_confidence
DdzFFzCqrhsmRf8grivMqngFjqggwoTFbtANSoG8wYQh32SRm95BGSeo4W9ZWqAo4TJsvCDqXwQnh82vJbbjSZcHynJ4Ku2xy17dmDu6,1693,1099,109867160.80000000,185,203,18,HIGH
DdzFFzCqrhswJDv4SNR3XLM3fBoWxPCRKfQrMA3cZUAARSHvVtrtV1CbSH4jds2aZePSDoPKL5WtmB9uMrTAtieVBybRRFGUVaQoXjdr,1692,357,98674698.699913000000,49,201,152,HIGH
DdzFFzCqrht1m1d3J3F8yQJVKcWFeAFhV3SaFDFSrYv5s5CRHTSW9KqgaCnMF9mnAJSn84xqZDomQE16QBMrbdn5uaT4zFCEnvWU8tKi,1674,1636,144690377.28573000,95,158,63,HIGH
DdzFFzCqrhshsCmvoZvnMjuG6WVWokzcmmNDwyhFLdX7WL4vR8RRf2Ka9xvCBEmU7jtUkfGrz4Emd8xq3ZdDSUgaEHD9FCs2xMjRjQDr,1650,1044,57578960.780000000000,173,207,34,HIGH
DdzFFzCqrhsfjAyCVm4BDHGvVeh3NeNXXZSitSMghXKEVVqvLsoV3B3FFN757kuAZBWwPAe17ybFDTmMooaSsv2jYTs7BLYP4rgLFytm,1630,1145,8005078.770734000000,41,207,166,HIGH
DdzFFzCqrhsx3x7LQZyRJeUMyA7crV9KMpWvbkNV14jR3NYTTEvq6243GkzpHzRtgcAWsfnmDc1quPB1xux3RsvQciMcANJpMSee29DZ,1595,1289,37452706.602585000000,39,175,136,HIGH
DdzFFzCqrhsngHu8LrcSwcSCKxFYUUQQpu6DWHPyWZzEdbLKeD79ke9MhGsyK5gNo94nK1rp785jz5CzYkS7x6aoPaDLfgD8ooi71RY8,1570,2999,15608197.251676000000,23,60,37,HIGH
DdzFFzCqrhse1WwoDLfksnrmuidW8dS3xsd9TRCdkHPedTMzHQ2G9geuAcfkJYe8P4Y3SovGGv5kuDPE8QzTWgaLufqyiEBLBVs5hten,1569,2367,97930420.710498000000,49,205,156,HIGH
DdzFFzCqrht36Bz9KYPDRRFaXXqLNKvwt5waPdEfx9qsFcnafqCAmVzNV4SpsnDXW7UwgDb7L1d1NtRJZVYd7QWcP7SpEtjndfvZFMi1,1476,1309,167558006.69390000,75,158,83,HIGH
DdzFFzCqrht9guZcL2sXzq3APYshYHZ1fCMo9d9UKbu56dchjc8Jis3VFVf4Ggcmkb7T7B3ZNuWKWe9HYUpUzvaSnk29BF2jfHJHwpLc,1437,2869,3085558.349996000000,176,206,30,HIGH
DdzFFzCqrht2ENcuEHPEyDFoB3d2N48fLEPDNavc8UYDL5vGg8zdJYwG7Kzn2bZSJjBsvjr5okX7uCvju8fHCZgfkWU163MsCkpae2Wv,1432,1168,186629593.30088500,61,158,97,HIGH
DdzFFzCqrht8QHTQXbWy2qoyPaqTN8BjyfKygGmpy9dtot1tvkBfCaVTnR22XCaaDVn3M1U6aiMShoCLzw6VWSwzQKhhJrM3YjYp3wyy,1422,1040,20533351.852917000000,25,207,182,HIGH
DdzFFzCqrhsyabjzbjTfyama2EFz8wAJcL1s8qN69FXcZQfE9tnwm9gApHyZYkEqd5FfS39AptJMq54SXgPiw8js5NpC9yUxEhPVbNmS,1415,2658,1855403127.47856200,31,142,111,HIGH
DdzFFzCqrht5itXxUXHJ7q1Z6WZfQPEpZFEJucZYYZEB5Qz9qfh3gRKnWtRq3o9ghfn9GeVTEuooHfugsPn1vm4zNp4QRTicQH7WvF1E,1398,1242,133748877.00000000,137,207,70,HIGH
DdzFFzCqrhsrv8mQqZmsr6aSwbS2Sye4kKZA8jTVfVKi7GQBrcogqxC1U1RG544x3v3aiCsGYybN1ADuSKiU7ZxJX3TFGkBMmLtsqPTD,1375,920,24114521.099654000000,61,196,135,HIGH
DdzFFzCqrht6SEX3syxG5ZirVCPu4YxBbcLJvWWDqryTnwH2vzcvZjXtd1p1THHepUfaRENwLuQKpHmiaPjSCAvkoxBnHNRGuePBxX8H,1370,640,6352229.537053000000,172,207,35,HIGH
DdzFFzCqrhswqxkbph4RjhnPteMZJ8Y1gVhq4E5B2EHPzPttDbUamEywzi8ZsbMq365ZoTBX6jPDZgm76UMZAd6xZQAbKm3qtHRzo6aC,1365,2111,144131278.67100000,108,141,33,HIGH
DdzFFzCqrhsdnSX3SLx8oPPuxwgW1258NM9tyv8WgFEuy24yWESkACr5UZVXJgxxbD4dtNiYuz65BKCU84U5ZBHGbCpkCD95PsmCCLnb,1338,1254,424019202.85159800,152,205,53,HIGH
DdzFFzCqrhskdnesEWbZ5Yis1vGtU8z9MXpLBX9rinUEjgGF9h2qHwZ5FquJuWmtEyEuBApcXE2k4vxvqorvW92GDXGcHJLfEpQq8EVK,1330,893,21889519.223732000000,61,157,96,HIGH
DdzFFzCqrhssR7HkEcfNt3jHtvu62mWN4qLybiVQE8CC8mdqFQ5YP1PRaaw8MP2arh2BCDb8Zig5DscirKAeNd435x2ic6TZ7s2bRMCS,1329,1888,174484856.86600000,109,193,84,HIGH
DdzFFzCqrhshq8KNFEmdirAq3zXKLXrkpGz3qjGqHeCD2jbsznMpQK15aYYtYgADtVJ84KDWVi3sgHLgsxRuAYbqzunFf5in3KAHhout,1328,4910,1604944.896990000000,168,205,37,HIGH
DdzFFzCqrhszD6LFeZWNo1A5hovjEvYVHu1vFtAESDws3g1cjBCKvB5ShD5hx6UyP3xZsQS6CTc8cAEf3hsLtK1idLV1yLq62uRwpqUV,1324,2395,59951027.855818000000,45,179,134,HIGH
DdzFFzCqrhshsUjqXEnEcPWtLXfmNLbFcKG2aJBoNheTs8TPXqRuTQ8hcxx2CVoDCGBFv4zJUhbC4PEJ8ZTdPqVACENyghyafPvPnb9a,1313,84,25499054.587440000000,40,126,86,MEDIUM
DdzFFzCqrht1iXFc4pvuh2ZbpgEZAL1dbg16PGySEks3nkPYKqbiQkhjUnatbvfMx3SHdqcDvk9PmDrjahXReFbcMu2nshgXqny7wRzx,1312,4724,3403716.450399000000,188,205,17,HIGH
DdzFFzCqrhsnG5ZFpWSgQqDtBf1zaqM1syC1hACrAMR4m6gTkH746FMGnKD5D7AGoHFb2g7Aq5w5GhZjqEwisTc9xH6f9c4HTPNgEMDU,1306,780,7885597.000000000000,103,179,76,HIGH
DdzFFzCqrhso99rZTVw8xrJStYUWPfXUv3acE3VhpNbnqH1ETUtD74QBQhSZBvx9bq28sfCxXadCqcNLtVWezYE6YMVAYiQ9s2xWVRnA,1305,816,160537247.00000000,65,121,56,HIGH
DdzFFzCqrhssGNTeeftcxRhwTYM9EhacVPggzSsc5LBFaYrxU1WsDNXKeX7m1gYY6nS3hG822eL8B7bn4Tsxe47tPSmsQFGuGWpV7RbF,1304,493,6126955.739529000000,41,207,166,HIGH
DdzFFzCqrhseGuuvCQew8XBN53S2sMQRrtV6HFai2ijxXmYu9vaZdt7274Siu6vANdaFXH8yu2CKppWqEnR6LDMiimM1SqiVWohDSeXx,1302,451,229970472.96797000,3,65,62,HIGH
DdzFFzCqrhshf5p7YBkJbdwWzF3Lq2DF4w6FGcgEH2KGZK2j1JxDaXV8krVyuT4R8RqrsgSSge9FK6GZkkceykkE15qpszU9jvvAA3Rb,1287,948,81785320.811348000000,59,140,81,HIGH
DdzFFzCqrhsgYRsiY7M1mMWo2vdimjgTT7wFXvkTYeRdcBNNpbwAXn6pgpFjjg7aQwKDUs6pVFDCUvbXRKva6tsGqJH91rxiv4kGk5oR,1284,1087,143930595.52735900,135,202,67,HIGH
DdzFFzCqrhsrQhXeM1wb1YMUBTEZA3yB1UupF8cKeaW9D3S25SL1iHxCnLGvPzpFJpBBh3h8m2B5258ZgMxZsU2r4wCWyjLyYaoWCrp2,1249,2048,181515961.82320000,149,207,58,HIGH
DdzFFzCqrhseYYepAGkTRRAucEbCWRQ3n2tHvYZ7csA7wpHi3FHWDR7xuMnuErpwKv6CPc5KgFH2LprVR7hR4xCkMWJ8erroGv1CUYdD,1248,3832,1292932.857996000000,193,206,13,HIGH
DdzFFzCqrht8xjDAPrebVrAziMEXmgSxYryY47WDgUAQ71dLqHXcJQ4P1nHcwmGuDHHuZ9JCobXcRjd614PraZRhgKR7oCLbtyEC6Y1q,1228,1867,9942352.099900000000,125,205,80,HIGH
DdzFFzCqrhso9NX8ZC2VrSBsAV8TuTXezcqeExYUQ1TW6TjvvffPB4EmA3tnj3xALNAqLD6EkrUwQyCKuN4jr2SD7xmBzS1fGT1w9z1A,1213,1220,1897785.000000000000,48,95,47,HIGH
DdzFFzCqrhsvkeKjcHfyac9TmEGr2tWjo1Tvgi9CWoGCNGgBDBKsar9pKgDWTav6QNzRk5wYTa71LegWzM1SXPudAZpM96hPHxTJZ6pu,1205,37,267897.000000000000,48,69,21,MEDIUM
DdzFFzCqrhsyVNv9Eac67ftBWC9JZ5NUuanWLZzXXCL98PwtZZU8Hu1HpqXXnAtWSdTgRCmpsHHpR75auiH7BBwm9M1xL7EJtb1q8ifR,1163,704,184535399.35964900,108,193,85,HIGH
DdzFFzCqrhssf5fQpZftWWPjKrQveNb4Cmdee8FwatCcrcirS4jDmQUpsGDsCdSjtkL9QCf78Fsse5E14FPZcB32ZpBLk5oYAaptdQan,1150,2,31229721.800000000000,178,207,29,MEDIUM
DdzFFzCqrhtB2LgyHxtx2ga3QQfkVjJrP92b5w4ksqW4vzGHhTJba3N8hj4wgybFRCFodGY1JH9Yr5viiNQyysRzET4f2j7DRukvESHN,1133,2194,13954144.132964000000,25,206,181,HIGH
DdzFFzCqrhszsEb1hGiok5zgX58y94QMy9RZ99pTH5ueptEcjFNMTBcfmdrfYFdPF2Tj2E5HxmjyNAKqzSzXnBwr48MXsaopSEHCbq7V,1109,1859,4175537.091151000000,82,207,125,HIGH
DdzFFzCqrhspmKyXPbxFFmyVRFg5bmnwBtHJmYhRd39PWJ9zwoL62hQEA5ri3LqZ5MA6ihpoKAM9Hi89LTsWeWNhbLBzB2bWD4csjNDh,1099,21,95095298.487764000000,128,135,7,MEDIUM
DdzFFzCqrhsv4ek6JSeSodyPPsxcKFgJ9je3n5DZJrpwZAJosKemPH5L5uhKQbCTFUMnZZ6AjmkWpKyaYP4pboNGCDtS7tZFrKhsTSP5,1097,1058,566215144.68846500,112,158,46,HIGH
DdzFFzCqrhsoqyK3YweeezLpmDTRX4waGFw4pntoDGfbPFbihAKfRE8teQ5TSDtfoCyWcDRjszXNpnGPy8pi1YC3eqs3Ruc2q2jaoFLU,1087,1945,141292166.58041100,108,192,84,HIGH
DdzFFzCqrhsuRZieMkMtQ8nzQMDwnH9bjrjNGPsk7z6aN1JvCdzRdrjJ4tr2HEJQRmjM3Wf21dQmUF8P6XWRuvvXhNLUqSH3GcksZMRs,1087,2,67125641.100000000000,86,178,92,MEDIUM
DdzFFzCqrhsp5LyLzGEgM99deTJpAHFLTWZPp3FX8eM7WrHQ2bbK5ng6hicpp2KyC3nddenXCtuhBkm6hpD4hUjidanGgjtuuxn4W1C1,1078,1448,70309290.321477000000,178,205,27,HIGH
